dataset,intents,time_elapsed,num_samples,lr,samples_per_batch,MLParch,batch_size,reduction_function,accuracy_test,accuracy_tfidf
bankingtrain,77,1824.4200263023376,1,150,0.5,1500000,"[77, 100, 100, 77]",64,max,0.012987012987012988,0.012987012987012988
bankingtrain,77,1836.0970344543457,1,150,0.05,1500000,"[77, 100, 100, 77]",64,max,0.012987012987012988,0.012987012987012988
bankingtrain,77,1836.5886402130127,1,150,0.005,1500000,"[77, 100, 100, 77]",64,max,0.058116883116883115,0.04935064935064935
bankingtrain,77,1836.5571553707123,1,150,0.0005,1500000,"[77, 100, 100, 77]",64,max,0.8675324675324675,0.7207792207792207
bankingtrain,77,1832.3642876148224,1,150,5e-05,1500000,"[77, 100, 100, 77]",64,max,0.8792207792207792,0.7233766233766233
bankingtrain,77,1831.9992046356201,1,150,5e-06,1500000,"[77, 100, 100, 77]",64,max,0.698051948051948,0.5077922077922078

bankingtrain,77,1769.6020085811615,1,10,5e-05,1500000,"[77, 100, 100, 77]",64,max,0.7175324675324676,0.548051948051948
bankingtrain,77,1897.8478529453278,1,30,5e-05,1500000,"[77, 100, 100, 77]",64,max,0.8327922077922078,0.6727272727272727
bankingtrain,77,1851.9791278839111,1,60,5e-05,1500000,"[77, 100, 100, 77]",64,max,0.8633116883116884,0.6922077922077922
bankingtrain,77,1826.809433221817,1,90,5e-05,1500000,"[77, 100, 100, 77]",64,max,0.8720779220779221,0.712987012987013
bankingtrain,77,1792.5951409339905,1,100,5e-05,1500000,"[77, 100, 100, 77]",64,max,0.8873376623376623,0.7428571428571429
bankingtrain,77,1791.0329720973969,1,120,5e-05,1500000,"[77, 100, 100, 77]",64,max,0.8737012987012988,0.7272727272727273
bankingtrain,77,1811.760761499405,1,150,5e-05,1500000,"[77, 100, 100, 77]",64,max,0.8795454545454545,0.7194805194805195
bankingtrain,77,3925.942777633667,1,100,5e-05,1500000,"[77, 100, 100, 77]",64,max,0.8743506493506493,0.7337662337662337
bankingtrain,77,2808.8152375221252,1,110,5e-05,1500000,"[77, 100, 100, 77]",64,max,0.8814935064935064,0.7259740259740259
bankingtrain,77,2922.3150618076324,1,120,5e-05,1500000,"[77, 100, 100, 77]",64,max,0.875974025974026,0.7090909090909091
bankingtrain,77,3026.6739735603333,1,130,5e-05,1500000,"[77, 100, 100, 77]",64,max,0.8756493506493507,0.7168831168831169
bankingtrain,77,3168.01282453537,1,140,5e-05,1500000,"[77, 100, 100, 77]",64,max,0.8805194805194805,0.712987012987013
bankingtrain,77,3307.721154689789,1,150,5e-05,1500000,"[77, 100, 100, 77]",64,max,0.8769480519480519,0.7103896103896103

bankingtrain,77,182.2032551765442,1,105,5e-05,100000,"[77, 100, 100, 77]",64,max,0.5970779220779221,0.4636363636363636
bankingtrain,77,547.912725687027,1,105,5e-05,300000,"[77, 100, 100, 77]",64,max,0.7775974025974026,0.6116883116883117
bankingtrain,77,915.4257369041443,1,105,5e-05,500000,"[77, 100, 100, 77]",64,max,0.8116883116883117,0.6415584415584416
bankingtrain,77,1669.6913294792175,1,105,5e-05,750000,"[77, 100, 100, 77]",64,max,0.8344155844155844,0.6675324675324675
bankingtrain,77,2436.102142095566,1,105,5e-05,1000000,"[77, 100, 100, 77]",64,max,0.8457792207792207,0.6831168831168831
bankingtrain,77,3583.309146165848,1,105,5e-05,1250000,"[77, 100, 100, 77]",64,max,0.8746753246753247,0.7207792207792207
bankingtrain,77,2833.0544595718384,1,105,5e-05,1500000,"[77, 100, 100, 77]",64,max,0.8808441558441559,0.7376623376623377

bankingtrain,77,2994.640021085739,1,120,5e-05,1500000,"[77, 100, 100, 77]",4,max,0.8811688311688312,0.7181818181818181
bankingtrain,77,2989.2173268795013,1,120,5e-05,1500000,"[77, 100, 100, 77]",8,max,0.8788961038961038,0.7259740259740259
bankingtrain,77,3000.7825639247894,1,120,5e-05,1500000,"[77, 100, 100, 77]",16,max,0.8834415584415585,0.7350649350649351
bankingtrain,77,2992.610902786255,1,120,5e-05,1500000,"[77, 100, 100, 77]",32,max,0.8805194805194805,0.7233766233766233
bankingtrain,77,2997.780128479004,1,120,5e-05,1500000,"[77, 100, 100, 77]",64,max,0.8795454545454545,0.7259740259740259

bankingtrain,77,1629.854907989502,1,120,5e-05,1500000,"[77, 25, 77]",16,max,0.8483766233766233,0.6883116883116883
bankingtrain,77,1792.5496366024017,1,120,5e-05,1500000,"[77, 25, 25, 77]",16,max,0.8058441558441558,0.6636363636363637
bankingtrain,77,1609.3771929740906,1,120,5e-05,1500000,"[77, 50, 77]",16,max,0.8652597402597403,0.7168831168831169
bankingtrain,77,2127.1867191791534,1,120,5e-05,1500000,"[77, 25, 25, 25, 77]",16,max,0.7366883116883117,0.538961038961039
bankingtrain,77,2559.9225866794586,1,120,5e-05,1500000,"[77, 25, 25, 25, 25, 77]",16,max,0.662987012987013,0.4961038961038961
bankingtrain,77,1777.0517885684967,1,120,5e-05,1500000,"[77, 50, 50, 77]",16,max,0.8412337662337662,0.6805194805194805
